theme_code,theme_origine,metier,weight
PSAN,020,11,8
EDD,020,11,7
NUM,020,11,6
ACU,020,11,5
EBP,020,11,4
DIDG,020,11,3
CLIM,020,11,2
PLA,020,11,1
PCO,020,52,60
SST,020,52,50
NUM,020,52,30
DTM,020,52,20
CLIM,020,52,10
PCO,020,23,14
SST,020,23,13
EDP,020,23,11
DTM,020,23,10
COP,020,23,9
PSAN,020,23,8
EDD,020,23,7
NUM,020,23,6
ACU,020,23,5
EBP,020,23,4
DIDG,020,23,3
CLIM,020,23,2
PLA,020,23,1
PCO,020,51,40
DTM,020,51,20
CLIM,020,51,10
FSPA,020,56,60
PCO,020,56,50
DTM,020,56,40
PSAN,020,56,30
CLIM,020,56,20
EBP,020,56,10
FSPA,020,30,16
PCO,020,30,15
SST,020,30,14
EDP,020,30,12
DTM,020,30,11
COP,020,30,10
PSAN,020,30,9
EDD,002,30,8
NUM,020,30,7
ACU,020,30,6
EBP,020,30,5
DIDG,020,30,4
CLIM,020,30,3
PLA,020,30,2
PCO,020,53,50
DTM,020,53,20
CLIM,020,53,10
CLIM,020,54,0
DTM,020,3,220
NUM,020,3,210
DIDG,020,3,200
SST,002,3,180
FTRA,002,3,170
FSPA,002,3,160
EDP,002,3,150
125,002,3,140
118,002,3,130
EDD,002,3,120
113,002,3,110
115,002,3,100
107,002,3,90
109,002,3,80
114,002,3,70
119,002,3,60
104,002,3,50
VALE,002,3,40
CLIM,002,3,30
106,002,3,20
105,002,3,10
PCO,020,55,80
DTM,020,55,77
PSAN,020,55,75
NUM,020,55,70
CLIM,020,55,10
IVP,020,13,20
SSA,020,13,10
FSPA,020,21,16
PCO,020,21,15
SST,020,21,14
EDP,020,21,12
DTM,020,21,11
COP,020,21,10
PSAN,020,21,9
EDD,020,21,8
NUM,020,21,7
ACU,020,21,6
EBP,020,21,5
DIDG,020,21,4
CLIM,020,21,3
PLA,020,21,2
ESP,020,21,1
FSPA,020,9,160
PCO,020,9,150
SST,020,9,140
EDP,020,9,120
DTM,020,9,110
COP,020,9,100
PSAN,020,9,90
EDD,020,9,80
NUM,020,9,70
ACU,020,9,115
EBP,020,9,50
DIDG,020,9,40
CLIM,020,9,30
IVP,020,9,20
AAP,020,9,10
FSPA,020,7,16
PCO,020,7,15
SST,020,7,14
EDP,020,7,12
DTM,020,7,11
COP,020,7,10
PSAN,020,7,9
EDD,020,7,8
NUM,020,7,7
ACU,020,7,6
EBP,020,7,5
DIDG,020,7,4
CLIM,020,7,3
PLA,020,7,2
ALL,020,7,1
FSPA,020,50,500
PCO,020,50,80
DTM,020,50,77
PSAN,020,50,75
CLIM,020,50,30
INI,020,50,10
FSPA,020,8,16
PCO,020,8,15
SST,020,8,14
EDP,020,8,12
DTM,020,8,11
COP,020,8,10
PSAN,020,8,9
EDD,020,8,8
NUM,020,8,7
ACU,020,8,6
FSPA,020,28,170
PCO,020,28,160
SST,020,28,150
EDP,020,28,130
DTM,020,28,120
COP,020,28,110
PSAN,020,28,90
EDD,020,28,80
NUM,020,28,70
ACU,020,28,125
EBP,020,28,50
DIDG,020,28,40
CLIM,020,28,30
IVP,020,28,20
MSC,020,28,10
FSPA,020,26,180
PCO,020,26,170
SST,020,26,160
EDP,020,26,140
DTM,020,26,130
COP,020,26,120
PSAN,020,26,110
EDD,020,26,100
NUM,020,26,90
ACU,020,26,135
EBP,020,26,70
DIDG,020,26,60
CLIM,020,26,50
IVP,020,26,40
LEES,020,26,30
LAN,020,26,20
LTAL,020,26,10
FSPA,020,49,500
PCO,020,49,80
DTM,020,49,77
PSAN,020,49,75
CLIM,020,49,30
ASO,020,49,10
EBP,020,8,5
DIDG,020,8,4
CLIM,020,8,3
PLA,020,8,2
ANG,020,8,1
ADM,020,48,10
FSPA,020,48,500
SST,020,48,300
PCO,020,48,80
DTM,020,48,77
PSAN,020,48,75
NUM,020,48,70
DEF,020,48,50
VALE,020,48,40
CLIM,020,48,30
DTM,020,47,77
PSAN,020,47,75
DEF,020,47,50
VALE,020,47,40
CLIM,020,47,30
MED,020,47,10
FSPA,020,25,180
PCO,020,25,170
SST,020,25,160
EDP,020,25,140
DTM,020,25,130
COP,020,25,120
PSAN,020,25,110
EDD,020,25,100
NUM,020,25,90
ACU,020,25,135
EBP,020,25,70
DIDG,020,25,60
DEF,020,25,50
VALE,020,25,40
CLIM,020,25,30
IVP,020,25,20
LHI,020,25,10
ACU,020,24,80
EBP,020,24,60
FSPA,020,24,500
DIDG,020,24,50
DEF,020,24,45
VALE,020,24,40
PCO,020,24,350
SST,020,24,300
CLIM,020,24,30
EDP,020,24,255
DTM,020,24,160
COP,020,24,155
PSAN,020,24,150
EDD,020,24,140
NUM,020,24,120
PSH,020,24,20
LET,020,24,10
ACU,020,29,80
EBP,020,29,60
FSPA,020,29,500
DIDG,020,29,50
DEF,020,29,45
VALE,020,29,40
PCO,020,29,350
SST,020,29,300
CLIM,020,29,30
DTM,020,29,160
COP,020,29,155
PSAN,020,29,150
EDD,002,29,140
NUM,020,29,120
PSH,020,29,20
PHI,020,29,10
FSPA,020,6,500
PCO,020,6,80
DTM,020,6,77
PSAN,020,6,75
NUM,020,6,70
DEF,020,6,50
VALE,020,6,40
CLIM,020,6,30
COP,020,6,1
ACU,020,41,170
FSPA,020,41,160
PCO,020,41,150
EDP,020,41,140
EBP,020,41,130
COP,020,41,120
EDD,020,41,100
SST,020,41,90
PSAN,020,41,80
NUM,020,41,70
DIDG,020,41,60
DEF,020,41,50
VALE,020,41,40
CLIM,020,41,30
DTM,020,41,20
EP,020,41,10
FSPA,020,5,500
PCO,020,5,80
DTM,020,5,77
PSAN,020,5,75
NUM,020,5,70
DEF,020,5,50
VALE,020,5,40
CLIM,020,5,30
COP,020,5,1
EBP,020,16,60
ACU,020,16,80
FSPA,020,16,500
DIDG,020,16,50
DEF,020,16,45
VALE,020,16,40
PCO,020,16,350
SST,020,16,300
CLIM,020,16,30
EDP,020,16,255
DTM,020,16,160
COP,020,16,155
PSAN,020,16,150
EDD,020,16,140
NUM,020,16,120
PSH,020,16,20
DOC,020,16,10
FSPA,020,46,500
PCO,020,46,80
DTM,020,46,77
PSAN,020,46,75
NUM,020,46,70
DEF,020,46,50
VALE,020,46,40
CLIM,020,46,30
FSPA,020,4,500
PCO,020,4,350
SST,020,4,300
CLIM,020,4,30
EDP,020,4,255
PSH,020,4,20
DTM,020,4,160
COP,020,4,155
PSAN,020,4,150
EBP,020,4,60
EDD,020,4,140
NUM,020,4,120
DIDG,020,4,50
CPE,020,4,10
DEF,020,4,45
ACU,020,4,80
VALE,020,4,40
ACU,020,42,170
FSPA,002,42,160
PCO,020,42,150
EDP,020,42,130
EBP,020,42,120
COP,020,42,70
EDD,020,42,100
PSAN,020,42,90
SST,020,42,180
NUM,020,42,80
DIDG,020,42,60
DEF,020,42,50
VALE,020,42,40
CLIM,020,42,30
DTM,020,42,20
EP,020,42,10
FSPA,020,45,500
PCO,020,45,80
DTM,020,45,77
PSAN,020,45,75
NUM,020,45,70
DEF,020,45,50
VALE,020,45,40
CLIM,020,45,30
FSPA,020,44,500
PCO,020,44,80
DTM,020,44,77
PSAN,020,44,75
NUM,020,44,70
DEF,020,44,50
VALE,020,44,40
CLIM,020,44,30
PCO,020,2,200
NUM,020,2,190
DTM,020,2,180
DIDG,020,2,170
122,060,2,160
SST,060,2,150
FTRA,060,2,140
FSPA,060,2,130
EDP,060,2,120
125,060,2,110
118,060,2,100
113,060,2,90
115,060,2,80
107,060,2,70
109,060,2,60
119,060,2,50
VALE,060,2,40
CLIM,060,2,30
106,060,2,20
105,060,2,10
PCO,020,1,230
122,080,1,190
SST,080,1,180
FTRA,080,1,170
FSPA,080,1,160
EDP,080,1,150
125,080,1,140
118,080,1,130
EDD,080,1,120
113,080,1,110
115,080,1,100
107,080,1,90
109,080,1,80
114,080,1,70
119,080,1,60
104,080,1,50
VALE,080,1,40
CLIM,080,1,30
106,080,1,20
105,080,1,10
FSPA,020,27,180
PCO,020,27,170
SST,020,27,160
EDP,020,27,140
ACU,020,27,130
DTM,020,27,120
COP,020,27,110
PSAN,020,27,100
EDD,020,27,90
NUM,020,27,80
EBP,020,27,70
DIDG,020,27,60
DEF,020,27,50
CLIM,020,27,40
CLIM,020,27,30
PSC,020,27,20
MAT,020,27,10
